"Jahr";"Anstaltsgebäude";"Büro- und Verwaltungsgebäude";"Landwirtschaftliche Betriebsgebäude";"Nicht landwirtschaftliche Betriebsgebäude";"Fabrik- und Werkstattgebäude";"Handels- und Lagergebäude "
1993;1084,3;6356,6;3043,3;23204,8;8702,9;11282,9
1994;1009;6310;3140,8;23212,9;7205;12669,8
1995;1414,4;6895,8;3593;23099,3;6890,4;12357,4
1996;1313,1;5371,3;3696,2;21239,9;6393,6;11411
1997;1438,7;5620,4;4140,3;21819;6190,6;11775,9
1998;1361,3;4874,1;4622,1;20519,5;6152,4;11250,4
1999;1154,8;4553,3;5275,3;21192,9;6807;11063,9
2000;1054;4576;4899;21294;6710;10745
2001;1000,3;5069;4421;20431;6879;10532
2002;1274;5076;4649;18585;6377;9471
2003;1270,2;4224,7;4363,9;15493;5052;8399
2004;1257,6;3421,3;4284,3;15758,8;4888;8305,5
2005;1249,8;2868,7;3793,1;13916;3908;8089,2
2006;1261;3206;3949;15656;4263;8355
2007;1318;2312;4307;16250;4763;9262
2008;1208,06;2454,77;4544,37;18823,21;6132,71;10259,9
2009;1275,42;2653,52;4835,9;17128,22;5746,49;8884,47
2010;1116,87;2226,85;5549,16;14166,19;4430,23;7614,37
2011;1350;2146;5375;14578;4220;8256
2012;1122,92;2027,68;5172,82;16038,11;4617,03;9086,03
2013;960,73;2512,2;5351,07;15983,73;4739,02;8914,42
2014;1045,39;2226,37;5242,62;15628,06;4883,72;8314,01
2015;793,07;2568,93;4361,62;15375,82;4688,29;8533,54
2016;861,92;2513;3807,69;16238,33;4492,86;9070,67
2017;903,63;2532,16;3257,82;16609,32;4217,7;9497,39
2018;1038,22;2755,69;3474,49;16571,44;4501,75;8904,09
2019;1058,49;2864,48;3343,3;16946,14;4615,19;8967,77
2020;989;3241;3242;16632;4571;8710
